1603273800
OO3X5X7X9/0,01/0,01/0,49/0,01/0,45/0,01/0,01/0,01/0,01/221840
12XO56XOX/0,07/0,07/0,07/0,07/0,44/0,07/0,07/0,07/0,07/224922
XOX45OX89/0,09/0,08/0,09/0,09/0,29/0,09/0,09/0,07/0,08/3427077
X2345OX89/0,12/0,1/0,09/0,24/0,11/0,11/0,09/0,07/0,07/1112365
1OX45X789/0,02/0,02/0,02/0,02/0,82/0,02/0,02/0,02/0,02/1110245
1OXO5XX89/0,11/0,1/0,11/0,11/0,13/0,09/0,11/0,11/0,11/221875
1OXOOXXX9/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,84/223197
1X3X56OXO/0,04/0,04/0,04/0,04/0,010195919/0,01/0,04/0,04/0,04/605380
1X3456OX9/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,01/2862607
1XX4XOO89/0,13/0,12/0,1/0,13/0,13/0,12/0,1/0,07/0,07/4321197
12OO5X7XX/0,01/0,43/0,01/0,01/0,01/0,01/0,5/0,01/0,01/221845
OXOO5X7XX/0,02/0,02/0,02/0,02/0,02/0,02/0,85/0,02/0,02/221823
123O5X78X/0,02/0,02/0,82/0,02/0,02/0,02/0,02/0,02/0,02/1111549
O2X45X789/0,08/0,08/0,05/0,1/0,09/0,06/0,11/0,09/0,34/1110873
O2XO5XX89/0,11/0,1/0,11/0,1/0,11/0,11/0,11/0,1/0,11/222571
OXXO5XXO9/0,11/0,1/0,09/0,08/0,09/0,26/0,09/0,05/0,11/221997
XOXX5OO8X/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1291966
X23X5OO8X/0,02/0,02/0,02/0,02/0,82/0,02/0,02/0,02/0,02/222242
XO3XOO7XX/0,02/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/222891
X234O678X/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/5714007
1X3OX6789/0,19/0,09/0,12/0,13/0,13/0,07/0,08/0,08/0,08/17154029
1XXOX678O/0,11/0,11/0,11/0,11/0,11/0,1/0,1/0,11/0,11/222619
123XXOX8O/0,02/0,02/0,84/0,02/0,02/0,02/0,02/0,0196/0,02/252781
12XX5678O/0,05/0,04/0,04/0,04/0,04/0,05/0,05/0,90160006/0,04/3005322
O2XXX678O/0,11/0,12/0,11/0,12/0,11/0,12/0,1/0,12/0,11/222351
OXXXXO78O/0,1/0,13/0,09/0,13/0,11/0,1/0,1/0,11/0,11/221807
123456XOX/0,07/0,07/0,0784/0,07993601/0,0784/0,9005186/0,17/0,17/0,17/32280707
OO3X5XXOX/0,01/0,01/0,45/0,01/0,5/0,01/0,01/0,01/0,01/221561
1O345XXOX/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222261
12XX56XOO/0,1/0,18/0,18/0,09/0,010195919/0,01/0,1/0,16/0,1/16159196
OXX45X7O9/0,11/0,11/0,11/0,1/0,11/0,11/0,11/0,1/0,11/222221
OXXX5X7OO/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/221983
12X45X7O9/0,05/0,05/0,05/0,05/0,05/0,05/0,05/0,05/0,5488/1122038
XX345678O/0,05/0,05/0,63/0,05/0,05/0,05/0,05/0,05/0,05/1428262
XXO45XOXO/0,01/0,01/0,01/0,01/0,92/0,01/0,01/0,01/0,01/1112528
XX3456OXO/0,09/0,09/0,92/0,09/0,09/0,09/0,08/0,09/0,09/921159
O23XX6XO9/0,1/0,12/0,12/0,11/0,12/0,11/0,12/0,12/0,09/222154
OO3XX6XOX/0,02/0,02/0,85/0,02/0,02/0,02/0,02/0,02/0,02/222551
123X56XO9/0,12/0,13/0,12/0,12/0,13/0,13/0,12/0,08/0,01/39079888
123O567XX/0,03/0,03/0,03/0,03/0,03/0,03/0,76/0,03/0,03/1110171
1X3O5O7XX/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222111
OXXO5O7XX/0,01/0,01/0,01/0,01/0,5/0,01/0,46/0,01/0,01/221620
1X34567OX/0,12/0,12/0,1/0,12/0,11/0,09/0,09/0,11/0,12/1109230
1X34O6XOX/0,08/0,08/0,08/0,08/0,08/0,37/0,08/0,08/0,08/1617396
1XOXO6XOX/0,84/0,02/0,02/0,02/0,02/0,01/0,02/0,02/0,02/1639538
